,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 11,4354.35229,4382.657326,4411.358028,4440.25823,4469.195478,4497.661282,4521.774117,4546.190055,4571.187022,4595.451848,4620.236075,4644.264664,4668.498393,4692.852593,4717.593338,4741.950912,4766.246888,4791.175788,4812.150791,4832.930032,4853.869005,4874.791386,4896.154201,4916.572173,4937.600966,4958.808137,4979.466461,5000.291622,5020.987983,5042.311374,5060.677089,5079.316521,5098.11055,5116.568961,5135.031533,5154.044151
Episode 12,4382.813122,4408.91892,4438.400119,4466.670948,4495.295433,4517.917365,4544.423516,4570.726989,4598.008324,4623.267696,4646.840336,4670.759796,4692.584606,4716.177169,4744.09286,4767.029519,4794.1649,4816.6783,4833.498285,4857.763072,4878.417929,4900.649632,4919.651481,4938.848956,4960.966975,4981.405026,5000.410489,5018.044439,5040.162275,5057.813404,5077.352627,5095.586066,5115.144885,5131.707257,5151.059424,5169.253651
Episode 13,3662.105228,3639.292836,3614.014898,3598.138276,3583.438451,3564.780564,3546.97745,3535.634317,3523.763783,3503.272083,3488.135682,3471.143924,3456.059412,3443.016241,3428.271052,3415.790032,3407.979606,3393.591612,3383.979565,3374.708932,3368.502321,3359.236952,3349.236201,3341.889571,3328.510543,3321.06569,3312.651933,3308.242545,3304.269481,3301.079523,3294.370732,3289.20026,3280.570003,3280.526406,3269.693184,3267.339155
Episode 14,4411.624083,4440.347604,4469.28689,4497.735037,4521.883783,4546.237274,4571.198787,4595.388593,4620.162952,4644.203784,4668.445811,4692.85874,4717.625455,4741.902802,4766.229454,4791.109682,4812.051292,4832.917613,4853.784319,4874.712865,4896.057251,4916.506,4937.574234,4958.76203,4979.42517,5000.289096,5021.050383,5042.356838,5060.737551,5079.357911,5098.163665,5116.598877,5135.101265,5154.106675,5172.674899,5191.740033
Episode 15,4440.430783,4468.235929,4496.517174,4519.730117,4545.207801,4570.923619,4596.944659,4622.031326,4645.80596,4669.86262,4692.689884,4716.72901,4743.263853,4766.728353,4793.020323,4814.95205,4833.28243,4856.288748,4877.048898,4898.957011,4918.494768,4938.381149,4960.159283,4980.681006,5000.366165,5019.140455,5040.961411,5058.87694,5078.081158,5096.521562,5115.672082,5132.936782,5152.162413,5170.491049,5191.597602,5210.057137
Episode 16,4469.417085,4495.63794,4517.567218,4544.062065,4570.601977,4598.815803,4624.319451,4647.793126,4671.636242,4692.477007,4715.592606,4744.996893,4767.365917,4795.469404,4818.679782,4833.752277,4859.52028,4880.0681,4902.710219,4921.072156,4939.428079,4961.973998,4982.313552,5000.466435,5016.653667,5039.143266,5056.451159,5076.415618,5094.378269,5114.461819,5130.108976,5149.621232,5167.635587,5191.411299,5209.915167,5229.51933
Episode 17,4497.863227,4519.762326,4544.979546,4570.83355,4597.546027,4622.823397,4646.526342,4670.526033,4692.608444,4716.286827,4743.947132,4766.982379,4794.004508,4816.460757,4833.47373,4857.611206,4878.289906,4900.505636,4919.561809,4938.815867,4960.9148,4981.362289,5000.408098,5018.098475,5040.198265,5057.857123,5077.37993,5095.617979,5115.161222,5131.741783,5151.087402,5169.281898,5191.518639,5209.996913,5229.263385,5249.46109
Episode 18,4522.097932,4546.335387,4571.224479,4595.245162,4619.992247,4644.058337,4668.317818,4692.873936,4717.705886,4741.780992,4766.184897,4790.939341,4811.793066,4832.885179,4853.561915,4874.505622,4895.800222,4916.329858,4937.502817,4958.638443,4979.314154,5000.282287,5021.219052,5042.480017,5060.901728,5079.470528,5098.308458,5116.680572,5135.292003,5154.277959,5172.867242,5191.752575,5210.175189,5228.704854,5247.507596,5266.106661
Episode 19,4546.336784,4571.143491,4595.826593,4620.765468,4644.760676,4668.962301,4692.795123,4717.279482,4742.43782,4766.42842,4791.880578,4813.232918,4833.067413,4854.819667,4875.684217,4897.269084,4917.340781,4937.914248,4959.352823,4979.957798,5000.321873,5020.23609,5041.760561,5059.940866,5078.8102,5097.458013,5116.199981,5134.168301,5153.2675,5171.731132,5191.678409,5210.118642,5228.882091,5248.127747,5267.509402,5281.495287
Episode 20,4571.224945,4596.587167,4622.058168,4646.034319,4670.178342,4692.642927,4716.443553,4743.739077,4766.9146,4793.770784,4816.137827,4833.436439,4857.374386,4878.084237,4900.266609,4919.407575,4938.756738,4960.81769,4981.279224,5000.403232,5018.213911,5040.279199,5057.960915,5077.448573,5095.703231,5115.207766,5131.8471,5151.179197,5169.382083,5191.524997,5210.00163,5229.248979,5249.411919,5270.415028,5283.22105,5301.827283
